"Date","Time","Reward","Total","name","Wing"
27-January-3303,20:52,13580,Total,Viper Mk. IV of the Fedmich Mafia faction, Yes
27-January-3303,20:56,78885,Total,Anaconda of the Fedmich Mafia faction, Yes
27-January-3303,20:58,30387,Total,Asp Explorer of the Fedmich Mafia faction, Yes
28-January-3303,12:17,1980,Total,Hauler of the Republic Party of Cabru faction, Yes
28-January-3303,12:21,21450,Total,Cobra Mk. III of the Defence Party of Fedmich faction, Yes
28-January-3303,12:24,14535,Total,Imperial Courier of the Fedmich Mafia faction, Yes
28-January-3303,12:40,2900,Total,Sidewinder of the Fedmich Mafia faction, Yes
28-January-3303,12:41,62480,Total,Python of the Fedmich Mafia faction, Yes
28-January-3303,12:42,27330,Total,Viper Mk. IV of the Fedmich Electronics Partners faction, Yes
28-January-3303,12:42,37620,Total,Asp Scout of the People's Fedmich Values Party faction, Yes
28-January-3303,12:45,4062,Total,Sidewinder of the Fedmich Mafia faction, Yes
28-January-3303,12:46,5370,Total,Imperial Eagle of the Fedmich Mafia faction, Yes
28-January-3303,12:48,5120,Total,Sidewinder of the Fedmich Mafia faction, Yes
28-January-3303,12:49,8880,Total,Eagle of the Fedmich Mafia faction, Yes
28-January-3303,12:50,15500,Total,Diamondback Scout of the Fedmich Mafia faction, Yes
28-January-3303,12:52,28990,Total,Diamondback Explorer of the Republic Party of Cabru faction, Yes
28-January-3303,12:53,14445,Total,Asp Scout of the People's Fedmich Values Party faction, Yes
28-January-3303,12:53,6680,Total,Imperial Courier of the People's Fedmich Values Party faction, Yes
28-January-3303,12:54,6522,Total,Imperial Courier of the People's Fedmich Values Party faction, Yes
28-January-3303,12:54,8670,Total,Adder of the People's Fedmich Values Party faction, Yes
28-January-3303,12:55,8062,Total,Eagle of the Fedmich Mafia faction, Yes
28-January-3303,13:45,96792,Total,Vulture of the Fedmich Electronics Partners faction, Yes
28-January-3303,13:47,18990,Total,Viper Mk. IV of the Fedmich Mafia faction, Yes
28-January-3303,14:04,31045,Total,Diamondback Scout of the Denton Patreus faction, Yes
28-January-3303,14:05,7312,Total,Eagle of the A. Lavigny-Duval faction, Yes
28-January-3303,17:18,21845,Total,Viper Mk. III of the Fedmich Mafia faction, Yes
28-January-3303,17:19,27560,Total,Asp Scout of the Fedmich Mafia faction, Yes
28-January-3303,17:20,64110,Total,Fer-de-Lance of the Fedmich Mafia faction, Yes
28-January-3303,17:22,43875,Total,Imperial Clipper of the Fedmich Mafia faction, Yes
28-January-3303,17:24,28125,Total,Imperial Clipper of the Fedmich Mafia faction, Yes
28-January-3303,17:25,19910,Total,Cobra Mk. IV of the Walmiri Purple Universal Dev faction, Yes
28-January-3303,17:26,53190,Total,Python of the Fedmich Mafia faction, Yes
28-January-3303,17:27,7222,Total,Eagle of the Fedmich Mafia faction, Yes
